# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 1e-05, 0]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    8.250000    -0.0000000000e+00     3.8729176193e-03    -0.0000000000e+00
    8.300000     0.0000000000e+00     7.0726700470e-03    -0.0000000000e+00
    8.350000     0.0000000000e+00     1.2153343002e-02    -0.0000000000e+00
    8.400000     0.0000000000e+00     1.6888069881e-02    -0.0000000000e+00
    8.450000    -0.0000000000e+00     1.9362918376e-02    -0.0000000000e+00
    8.500000    -0.0000000000e+00     1.7558906208e-02    -0.0000000000e+00
    8.550000    -0.0000000000e+00     1.2017966710e-02    -0.0000000000e+00
    8.600000    -0.0000000000e+00     7.3753503158e-03    -0.0000000000e+00
    8.650000    -0.0000000000e+00     9.0008626118e-03    -0.0000000000e+00
    8.700000    -0.0000000000e+00     1.2842239620e-02    -0.0000000000e+00
    8.750000    -0.0000000000e+00     1.1766576185e-02     0.0000000000e+00
    8.800000    -0.0000000000e+00     7.8947713107e-03     0.0000000000e+00
    8.850000    -0.0000000000e+00     8.3904500567e-03     0.0000000000e+00
    8.900000    -0.0000000000e+00     1.1233988625e-02     0.0000000000e+00
    8.950000    -0.0000000000e+00     1.1652313232e-02     0.0000000000e+00
    9.000000    -0.0000000000e+00     9.5331565390e-03    -0.0000000000e+00
    9.050000    -0.0000000000e+00     8.6451958233e-03    -0.0000000000e+00
