# Photoabsorption spectrum from real-time propagation
# GPAW version: 19.8.1
# Total time = 44.9700 fs, Time steps = [30.0000] as
# Kick = [0, 0, 1e-05]
# Gaussian folding, Width = 0.0600 eV = 0.002205 Hartree <=> FWHM = 0.141289 eV
#    om (eV)                  S_x                  S_y                  S_z
    9.800000    -0.0000000000e+00    -0.0000000000e+00     2.6693588595e-02
    9.850000    -0.0000000000e+00    -0.0000000000e+00     2.6804667839e-02
    9.900000    -0.0000000000e+00    -0.0000000000e+00     2.8916112033e-02
    9.950000    -0.0000000000e+00    -0.0000000000e+00     3.2160372394e-02
   10.000000    -0.0000000000e+00    -0.0000000000e+00     3.2062602321e-02
   10.050000    -0.0000000000e+00    -0.0000000000e+00     2.8362041699e-02
   10.100000    -0.0000000000e+00    -0.0000000000e+00     2.5024885561e-02
   10.150000    -0.0000000000e+00    -0.0000000000e+00     2.2817450697e-02
   10.200000    -0.0000000000e+00    -0.0000000000e+00     2.3151283578e-02
   10.250000    -0.0000000000e+00    -0.0000000000e+00     2.9261520389e-02
   10.300000    -0.0000000000e+00    -0.0000000000e+00     3.4774119300e-02
   10.350000    -0.0000000000e+00    -0.0000000000e+00     3.5006637064e-02
   10.400000    -0.0000000000e+00    -0.0000000000e+00     3.2654230111e-02
   10.450000    -0.0000000000e+00    -0.0000000000e+00     3.2046208835e-02
   10.500000    -0.0000000000e+00    -0.0000000000e+00     3.1973196160e-02
   10.550000    -0.0000000000e+00    -0.0000000000e+00     3.1183660446e-02
   10.600000    -0.0000000000e+00    -0.0000000000e+00     3.0070500001e-02
   10.650000    -0.0000000000e+00    -0.0000000000e+00     3.0595333495e-02
   10.700000    -0.0000000000e+00    -0.0000000000e+00     3.0191629146e-02
   10.750000    -0.0000000000e+00    -0.0000000000e+00     2.6312069164e-02
   10.800000    -0.0000000000e+00    -0.0000000000e+00     2.3681073890e-02
   10.850000    -0.0000000000e+00    -0.0000000000e+00     2.3604034083e-02
   10.900000    -0.0000000000e+00    -0.0000000000e+00     2.3726712561e-02
   10.950000    -0.0000000000e+00    -0.0000000000e+00     2.1436414231e-02
   11.000000    -0.0000000000e+00    -0.0000000000e+00     1.9325692978e-02
   11.050000    -0.0000000000e+00    -0.0000000000e+00     1.8168226449e-02
   11.100000    -0.0000000000e+00    -0.0000000000e+00     1.8938376125e-02
   11.150000    -0.0000000000e+00    -0.0000000000e+00     2.2289573056e-02
   11.200000    -0.0000000000e+00    -0.0000000000e+00     2.7988722173e-02
   11.250000    -0.0000000000e+00    -0.0000000000e+00     3.2404249790e-02
   11.300000    -0.0000000000e+00    -0.0000000000e+00     3.2807912491e-02
   11.350000    -0.0000000000e+00    -0.0000000000e+00     3.2584616692e-02
   11.400000    -0.0000000000e+00    -0.0000000000e+00     3.2351675063e-02
   11.450000    -0.0000000000e+00    -0.0000000000e+00     3.0087785909e-02
   11.500000    -0.0000000000e+00    -0.0000000000e+00     2.6991997068e-02
   11.550000    -0.0000000000e+00     0.0000000000e+00     2.8758793888e-02
   11.600000    -0.0000000000e+00     0.0000000000e+00     3.1541990614e-02
   11.650000     0.0000000000e+00     0.0000000000e+00     3.1241683271e-02
   11.700000     0.0000000000e+00    -0.0000000000e+00     3.2206622492e-02
   11.750000    -0.0000000000e+00    -0.0000000000e+00     3.5990350590e-02
   11.800000    -0.0000000000e+00    -0.0000000000e+00     3.5784419541e-02
   11.850000    -0.0000000000e+00    -0.0000000000e+00     3.2157936749e-02
   11.900000    -0.0000000000e+00    -0.0000000000e+00     3.1458967866e-02
   11.950000    -0.0000000000e+00    -0.0000000000e+00     3.3548635732e-02
   12.000000    -0.0000000000e+00    -0.0000000000e+00     3.8052971759e-02
   12.050000    -0.0000000000e+00    -0.0000000000e+00     4.3040145102e-02
   12.100000    -0.0000000000e+00    -0.0000000000e+00     4.5626442465e-02
   12.150000    -0.0000000000e+00    -0.0000000000e+00     4.2204934451e-02
   12.200000    -0.0000000000e+00    -0.0000000000e+00     3.4784064112e-02
   12.250000    -0.0000000000e+00    -0.0000000000e+00     2.8529836555e-02
   12.300000    -0.0000000000e+00    -0.0000000000e+00     2.5696641208e-02
   12.350000    -0.0000000000e+00    -0.0000000000e+00     2.3129983682e-02
   12.400000    -0.0000000000e+00    -0.0000000000e+00     2.2006942101e-02
   12.450000    -0.0000000000e+00    -0.0000000000e+00     2.2162557437e-02
   12.500000    -0.0000000000e+00    -0.0000000000e+00     2.0354211839e-02
   12.550000    -0.0000000000e+00    -0.0000000000e+00     2.0078608485e-02
   12.600000    -0.0000000000e+00    -0.0000000000e+00     2.1429141065e-02
   12.650000    -0.0000000000e+00    -0.0000000000e+00     2.1446610597e-02
   12.700000    -0.0000000000e+00    -0.0000000000e+00     1.8449887047e-02
   12.750000    -0.0000000000e+00    -0.0000000000e+00     1.6905277455e-02
   12.800000    -0.0000000000e+00    -0.0000000000e+00     1.7944375173e-02
   12.850000    -0.0000000000e+00    -0.0000000000e+00     1.9030146466e-02
   12.900000    -0.0000000000e+00    -0.0000000000e+00     1.9758846566e-02
   12.950000    -0.0000000000e+00    -0.0000000000e+00     2.2181843960e-02
   13.000000     0.0000000000e+00    -0.0000000000e+00     2.4156450482e-02
   13.050000     0.0000000000e+00    -0.0000000000e+00     2.2835702572e-02
   13.100000     0.0000000000e+00    -0.0000000000e+00     2.1573364358e-02
   13.150000     0.0000000000e+00    -0.0000000000e+00     2.2576934433e-02
   13.200000    -0.0000000000e+00    -0.0000000000e+00     2.5629942048e-02
   13.250000    -0.0000000000e+00    -0.0000000000e+00     2.6834279630e-02
   13.300000    -0.0000000000e+00    -0.0000000000e+00     2.6156681224e-02
   13.350000    -0.0000000000e+00    -0.0000000000e+00     2.4630923830e-02
   13.400000    -0.0000000000e+00    -0.0000000000e+00     2.6022433901e-02
   13.450000    -0.0000000000e+00    -0.0000000000e+00     2.9870768654e-02
   13.500000    -0.0000000000e+00    -0.0000000000e+00     2.9651378508e-02
   13.550000    -0.0000000000e+00    -0.0000000000e+00     2.4095218378e-02
   13.600000     0.0000000000e+00    -0.0000000000e+00     1.9397522149e-02
   13.650000    -0.0000000000e+00    -0.0000000000e+00     1.9761043000e-02
   13.700000    -0.0000000000e+00    -0.0000000000e+00     2.1251664024e-02
   13.750000    -0.0000000000e+00    -0.0000000000e+00     2.1570388886e-02
   13.800000    -0.0000000000e+00    -0.0000000000e+00     2.1410872916e-02
   13.850000    -0.0000000000e+00    -0.0000000000e+00     2.2389577026e-02
   13.900000    -0.0000000000e+00    -0.0000000000e+00     2.1488692067e-02
   13.950000    -0.0000000000e+00    -0.0000000000e+00     1.8125308349e-02
   14.000000    -0.0000000000e+00    -0.0000000000e+00     1.4577772516e-02
   14.050000    -0.0000000000e+00    -0.0000000000e+00     1.3470340731e-02
   14.100000    -0.0000000000e+00     0.0000000000e+00     1.4789552822e-02
   14.150000    -0.0000000000e+00     0.0000000000e+00     1.7281419593e-02
   14.200000    -0.0000000000e+00     0.0000000000e+00     2.1846142960e-02
   14.250000    -0.0000000000e+00     0.0000000000e+00     2.7612051411e-02
   14.300000    -0.0000000000e+00     0.0000000000e+00     3.5354355158e-02
   14.350000    -0.0000000000e+00     0.0000000000e+00     4.0645002009e-02
   14.400000    -0.0000000000e+00    -0.0000000000e+00     3.9023325074e-02
   14.450000    -0.0000000000e+00    -0.0000000000e+00     3.3026058938e-02
   14.500000    -0.0000000000e+00    -0.0000000000e+00     2.8321478398e-02
   14.550000    -0.0000000000e+00    -0.0000000000e+00     2.4988091440e-02
   14.600000    -0.0000000000e+00    -0.0000000000e+00     2.4477228368e-02
   14.650000    -0.0000000000e+00    -0.0000000000e+00     2.7269888086e-02
   14.700000     0.0000000000e+00    -0.0000000000e+00     2.9599919296e-02
   14.750000     0.0000000000e+00    -0.0000000000e+00     3.1049141461e-02
   14.800000     0.0000000000e+00    -0.0000000000e+00     3.1638987536e-02
   14.850000     0.0000000000e+00    -0.0000000000e+00     2.8437277945e-02
   14.900000    -0.0000000000e+00    -0.0000000000e+00     2.0729975382e-02
   14.950000    -0.0000000000e+00    -0.0000000000e+00     1.5500270694e-02
   15.000000    -0.0000000000e+00    -0.0000000000e+00     1.3980171703e-02
   15.050000    -0.0000000000e+00    -0.0000000000e+00     1.4495654130e-02
   15.100000    -0.0000000000e+00    -0.0000000000e+00     1.6339519952e-02
   15.150000    -0.0000000000e+00    -0.0000000000e+00     2.0112077894e-02
   15.200000    -0.0000000000e+00    -0.0000000000e+00     2.5184595048e-02
   15.250000    -0.0000000000e+00    -0.0000000000e+00     3.1818492967e-02
   15.300000    -0.0000000000e+00    -0.0000000000e+00     3.5583154111e-02
   15.350000     0.0000000000e+00    -0.0000000000e+00     3.1038179292e-02
   15.400000     0.0000000000e+00    -0.0000000000e+00     2.5196631796e-02
   15.450000     0.0000000000e+00    -0.0000000000e+00     2.3047706389e-02
   15.500000     0.0000000000e+00    -0.0000000000e+00     2.2807386913e-02
   15.550000     0.0000000000e+00    -0.0000000000e+00     2.0854330805e-02
   15.600000    -0.0000000000e+00    -0.0000000000e+00     1.8763019212e-02
   15.650000    -0.0000000000e+00    -0.0000000000e+00     1.7533350937e-02
   15.700000    -0.0000000000e+00    -0.0000000000e+00     1.8212017721e-02
   15.750000    -0.0000000000e+00    -0.0000000000e+00     2.1179061302e-02
   15.800000    -0.0000000000e+00    -0.0000000000e+00     2.5422314306e-02
   15.850000    -0.0000000000e+00     0.0000000000e+00     2.7263775697e-02
   15.900000    -0.0000000000e+00     0.0000000000e+00     2.3941922879e-02
   15.950000    -0.0000000000e+00    -0.0000000000e+00     2.0176829282e-02
   16.000000     0.0000000000e+00    -0.0000000000e+00     1.8209808593e-02
   16.050000     0.0000000000e+00    -0.0000000000e+00     1.7192785840e-02
   16.100000     0.0000000000e+00    -0.0000000000e+00     1.5099642430e-02
   16.150000    -0.0000000000e+00    -0.0000000000e+00     1.3879114403e-02
   16.200000     0.0000000000e+00    -0.0000000000e+00     1.4221032778e-02
   16.250000     0.0000000000e+00    -0.0000000000e+00     1.6145586497e-02
   16.300000     0.0000000000e+00    -0.0000000000e+00     1.8810475065e-02
   16.350000     0.0000000000e+00    -0.0000000000e+00     2.0755361107e-02
   16.400000     0.0000000000e+00    -0.0000000000e+00     2.2112452369e-02
   16.450000     0.0000000000e+00    -0.0000000000e+00     2.5142644974e-02
   16.500000     0.0000000000e+00    -0.0000000000e+00     3.1417270809e-02
   16.550000     0.0000000000e+00    -0.0000000000e+00     3.6745777388e-02
   16.600000     0.0000000000e+00     0.0000000000e+00     3.7776169618e-02
   16.650000     0.0000000000e+00     0.0000000000e+00     3.2913106100e-02
   16.700000     0.0000000000e+00     0.0000000000e+00     2.7761157895e-02
   16.750000    -0.0000000000e+00     0.0000000000e+00     2.5526798574e-02
   16.800000    -0.0000000000e+00    -0.0000000000e+00     2.3602770209e-02
   16.850000    -0.0000000000e+00    -0.0000000000e+00     2.1262535999e-02
   16.900000    -0.0000000000e+00    -0.0000000000e+00     1.9811692948e-02
   16.950000    -0.0000000000e+00    -0.0000000000e+00     1.9533459643e-02
   17.000000    -0.0000000000e+00    -0.0000000000e+00     2.2850246395e-02
   17.050000    -0.0000000000e+00    -0.0000000000e+00     3.0735363963e-02
   17.100000    -0.0000000000e+00    -0.0000000000e+00     3.7688279543e-02
   17.150000    -0.0000000000e+00     0.0000000000e+00     3.8358191891e-02
   17.200000    -0.0000000000e+00     0.0000000000e+00     3.1454781899e-02
   17.250000    -0.0000000000e+00     0.0000000000e+00     2.3176719778e-02
   17.300000    -0.0000000000e+00     0.0000000000e+00     1.8096958340e-02
   17.350000    -0.0000000000e+00    -0.0000000000e+00     1.7137975021e-02
   17.400000    -0.0000000000e+00    -0.0000000000e+00     1.7233748837e-02
   17.450000    -0.0000000000e+00    -0.0000000000e+00     1.7413653355e-02
   17.500000    -0.0000000000e+00    -0.0000000000e+00     1.8529855019e-02
   17.550000    -0.0000000000e+00    -0.0000000000e+00     2.1145480403e-02
   17.600000    -0.0000000000e+00    -0.0000000000e+00     2.5570556943e-02
