# Time-correlated data for fix PP
# Timestep Number-of-time-windows
# Index TimeDelta Ncount c_str[4]*c_str[4] c_str[5]*c_str[5] c_str[6]*c_str[6]
100000 400
345 1720 19657 13.4845 -77.3669 37.0767
346 1725 19656 -2.7319 -78.3629 43.8269
347 1730 19655 -15.216 -78.1993 43.0734
348 1735 19654 -19.3465 -73.2891 33.3607
349 1740 19653 -16.6214 -60.8043 17.0243
350 1745 19652 -11.2537 -44.5093 4.69096
351 1750 19651 -2.40949 -33.2446 7.58409
352 1755 19650 11.2818 -30.0433 24.9593
353 1760 19649 26.3474 -28.2578 42.8645
354 1765 19648 42.1441 -22.2692 52.0011
355 1770 19647 58.5108 -15.0463 53.454
356 1775 19646 73.2588 -10.6475 52.5863
357 1780 19645 80.1478 -6.99453 52.5605
358 1785 19644 73.7133 0.224736 50.5206
359 1790 19643 56.5476 13.7646 48.769
360 1795 19642 35.8335 33.6247 53.5532
361 1800 19641 19.9103 52.0641 64.995
362 1805 19640 16.3006 59.2412 74.2383
363 1810 19639 25.0423 55.4483 73.4289
364 1815 19638 34.9737 50.8924 70.3611
365 1820 19637 36.4159 49.4102 76.6185
366 1825 19636 29.7015 45.1749 91.4752
367 1830 19635 21.8486 37.5528 109.166
368 1835 19634 16.6305 27.8644 120.249
369 1840 19633 8.21642 18.489 113.951
370 1845 19632 -5.24296 13.2658 91.5724
371 1850 19631 -13.2997 11.8663 65.3866
372 1855 19630 -9.38802 14.7265 46.0005
373 1860 19629 1.20273 24.6687 31.9274
374 1865 19628 10.5961 37.629 18.877
375 1870 19627 16.2899 42.6217 7.93778
376 1875 19626 19.9807 33.3936 2.47273
377 1880 19625 24.4266 12.0546 2.23267
378 1885 19624 32.7312 -9.12459 3.18054
379 1890 19623 43.2678 -16.7147 1.8187
380 1895 19622 53.1457 -11.6332 -1.46138
381 1900 19621 65.6648 -1.56296 -3.27955
382 1905 19620 78.4663 12.0089 -0.767683
383 1910 19619 79.8296 29.469 5.97077
384 1915 19618 69.9372 45.3875 10.452
385 1920 19617 60.2092 54.1074 8.33923
386 1925 19616 57.9349 54.3645 -1.4363
387 1930 19615 59.7554 49.4798 -19.2013
388 1935 19614 55.821 40.0508 -39.1274
389 1940 19613 41.7159 24.3853 -50.6565
390 1945 19612 26.0784 3.11355 -50.126
391 1950 19611 18.9837 -23.6837 -41.086
392 1955 19610 20.852 -51.6926 -32.6658
393 1960 19609 25.2916 -72.6792 -33.3679
394 1965 19608 28.3002 -85.1465 -40.4877
395 1970 19607 30.4226 -91.2755 -44.6771
396 1975 19606 29.8166 -88.5666 -42.5633
397 1980 19605 23.8715 -76.1042 -38.8577
398 1985 19604 15.1052 -61.6148 -41.5177
399 1990 19603 6.87081 -53.1004 -53.7401
400 1995 19602 3.05907 -48.4616 -69.639
